 Generation    X           Y             Z              chromosome
    0      19.003906    17.148438    26.998158    11110011011101101110
    1      18.281250    19.472656    26.356521    11101010001111100101
    2      18.339844    19.453125    26.401539    11101010111111100100
    3      18.359375    19.375000    27.262891    11101011001111100000
    4      17.558594    19.121094    29.164148    11100000111111010011
    5      17.734375    18.750000    33.089045    11100011001111000000
    6      17.734375    18.750000    33.089045    11100011001111000000
    7      17.773438    18.750000    33.232012    11100011101111000000
    8      17.773438    18.750000    33.232012    11100011101111000000
    9      17.773438    18.750000    33.232012    11100011101111000000
   10      17.773438    18.750000    33.232012    11100011101111000000
   11      17.773438    18.750000    33.232012    11100011101111000000
   12      17.773438    18.750000    33.232012    11100011101111000000
   13      17.773438    18.750000    33.232012    11100011101111000000
   14      17.773438    18.750000    33.232012    11100011101111000000
   15      17.773438    18.750000    33.232012    11100011101111000000
   16      17.773438    18.750000    33.232012    11100011101111000000
   17      17.773438    18.750000    33.232012    11100011101111000000
   18      17.773438    18.750000    33.232012    11100011101111000000
   19      17.773438    18.750000    33.232012    11100011101111000000
   20      17.773438    18.750000    33.232012    11100011101111000000
   21      17.773438    18.750000    33.232012    11100011101111000000
   22      17.773438    18.750000    33.232012    11100011101111000000
   23      17.773438    18.750000    33.232012    11100011101111000000
   24      17.773438    18.750000    33.232012    11100011101111000000
   25      17.773438    18.750000    33.232012    11100011101111000000
   26      17.773438    18.750000    33.232012    11100011101111000000
   27      17.773438    18.750000    33.232012    11100011101111000000
   28      17.773438    18.750000    33.232012    11100011101111000000
   29      17.773438    18.750000    33.232012    11100011101111000000
   30      17.773438    18.750000    33.232012    11100011101111000000
   31      17.773438    18.750000    33.232012    11100011101111000000
   32      17.773438    18.750000    33.232012    11100011101111000000
   33      17.773438    18.750000    33.232012    11100011101111000000
   34      17.773438    18.750000    33.232012    11100011101111000000
   35      17.773438    18.750000    33.232012    11100011101111000000
   36      17.773438    18.750000    33.232012    11100011101111000000
   37      17.773438    18.750000    33.232012    11100011101111000000
   38      17.773438    18.750000    33.232012    11100011101111000000
   39      17.773438    18.750000    33.232012    11100011101111000000
   40      17.773438    18.750000    33.232012    11100011101111000000
   41      17.773438    18.750000    33.232012    11100011101111000000
   42      17.773438    18.750000    33.232012    11100011101111000000
   43      17.773438    18.750000    33.232012    11100011101111000000
   44      17.773438    18.750000    33.232012    11100011101111000000
   45      17.773438    18.750000    33.232012    11100011101111000000
   46      17.773438    18.750000    33.232012    11100011101111000000
   47      17.773438    18.750000    33.232012    11100011101111000000
   48      17.773438    18.750000    33.232012    11100011101111000000
   49      17.773438    18.750000    33.232012    11100011101111000000
