

Generation 1º
Individual    Value      Choice Probability 
     0       26.998        6.418%
     1       26.534        6.308%
     2       25.502        6.063%
     3       20.068        4.771%
     4       17.034        4.050%
     5       15.903        3.781%
     6       15.880        3.775%
     7       15.576        3.703%
     8       13.611        3.236%
     9       12.374        2.942%
     10       12.105        2.878%
     11       12.082        2.872%
     12       11.938        2.838%
     13       11.767        2.797%
     14       11.683        2.777%
     15       11.244        2.673%
     16       10.803        2.568%
     17       10.510        2.499%
     18        9.831        2.337%
     19        9.607        2.284%
     20        9.216        2.191%
     21        8.720        2.073%
     22        8.081        1.921%
     23        7.862        1.869%
     24        7.306        1.737%
     25        7.148        1.699%
     26        6.506        1.547%
     27        6.502        1.546%
     28        6.355        1.511%
     29        6.096        1.449%
     30        5.192        1.234%
     31        4.957        1.178%
     32        4.613        1.097%
     33        4.014        0.954%
     34        3.772        0.897%
     35        3.039        0.722%
     36        3.008        0.715%
     37        2.998        0.713%
     38        2.918        0.694%
     39        2.817        0.670%
     40        1.591        0.378%
     41        1.371        0.326%
     42        1.364        0.324%
     43        0.926        0.220%
     44        0.894        0.212%
     45        0.836        0.199%
     46        0.667        0.159%
     47        0.610        0.145%
     48        0.202        0.048%
     49        0.021        0.005%

Generation 2º
Individual    Value      Choice Probability 
     0       26.357        6.266%
     1       26.170        6.221%
     2       25.502        6.063%
     3       25.200        5.991%
     4       20.166        4.794%
     5       20.068        4.771%
     6       20.068        4.771%
     7       19.513        4.639%
     8       18.162        4.318%
     9       17.035        4.050%
     10       17.034        4.050%
     11       15.880        3.775%
     12       15.880        3.775%
     13       14.453        3.436%
     14       14.239        3.385%
     15       13.481        3.205%
     16       12.983        3.086%
     17       12.166        2.892%
     18       12.124        2.882%
     19       12.105        2.878%
     20       11.938        2.838%
     21       11.683        2.777%
     22       11.637        2.767%
     23       11.464        2.725%
     24       11.244        2.673%
     25       10.613        2.523%
     26       10.510        2.499%
     27        9.941        2.363%
     28        9.831        2.337%
     29        9.607        2.284%
     30        9.251        2.199%
     31        9.004        2.141%
     32        8.513        2.024%
     33        8.184        1.946%
     34        8.107        1.927%
     35        7.862        1.869%
     36        7.862        1.869%
     37        7.071        1.681%
     38        4.766        1.133%
     39        4.430        1.053%
     40        3.596        0.855%
     41        3.540        0.842%
     42        3.526        0.838%
     43        3.077        0.731%
     44        2.883        0.685%
     45        2.607        0.620%
     46        2.294        0.545%
     47        1.558        0.370%
     48        0.894        0.212%
     49        0.707        0.168%

Generation 3º
Individual    Value      Choice Probability 
     0       26.402        6.276%
     1       26.170        6.221%
     2       26.170        6.221%
     3       26.170        6.221%
     4       25.506        6.063%
     5       23.860        5.672%
     6       23.060        5.482%
     7       22.825        5.426%
     8       20.202        4.802%
     9       20.193        4.800%
     10       20.166        4.794%
