 Generation    X           Y             Z              chromosome
    0      17.988281    18.476562    35.218678    11100110011110110010
    1      17.988281    18.476562    35.218678    11100110011110110010
    2      17.929688    18.339844    35.606680    11100101101110101011
    3      17.968750    18.125000    36.001767    11100110001110100000
    4      18.085938    18.183594    36.040433    11100111101110100011
    5      18.105469    18.164062    36.057151    11100111111110100010
    6      18.105469    18.164062    36.057151    11100111111110100010
    7      18.105469    18.164062    36.057151    11100111111110100010
    8      18.105469    18.164062    36.057151    11100111111110100010
    9      18.105469    18.164062    36.057151    11100111111110100010
   10      18.105469    18.164062    36.057151    11100111111110100010
   11      18.105469    18.164062    36.057151    11100111111110100010
   12      18.105469    18.164062    36.057151    11100111111110100010
   13      18.105469    18.164062    36.057151    11100111111110100010
   14      18.105469    18.164062    36.057151    11100111111110100010
   15      18.105469    18.164062    36.057151    11100111111110100010
   16      18.105469    18.164062    36.057151    11100111111110100010
   17      18.105469    18.164062    36.057151    11100111111110100010
   18      18.105469    18.164062    36.057151    11100111111110100010
   19      18.105469    18.164062    36.057151    11100111111110100010
