

Generation 1º
Individual    Value      Choice Probability 
     0       35.219        8.276%
     1       32.557        7.650%
     2       22.875        5.375%
     3       20.040        4.709%
     4       17.228        4.048%
     5       15.782        3.708%
     6       14.723        3.460%
     7       14.062        3.304%
     8       14.034        3.298%
     9       13.061        3.069%
     10       13.055        3.068%
     11       12.134        2.851%
     12       11.497        2.701%
     13       11.329        2.662%
     14       10.387        2.441%
     15       10.210        2.399%
     16        9.844        2.313%
     17        9.568        2.248%
     18        9.402        2.209%
     19        9.299        2.185%
     20        8.082        1.899%
     21        8.048        1.891%
     22        6.538        1.536%
     23        6.523        1.533%
     24        6.454        1.517%
     25        6.243        1.467%
     26        5.446        1.280%
     27        5.298        1.245%
     28        5.177        1.216%
     29        5.127        1.205%
     30        4.760        1.119%
     31        4.630        1.088%
     32        4.618        1.085%
     33        4.610        1.083%
     34        4.362        1.025%
     35        3.931        0.924%
     36        3.701        0.870%
     37        3.426        0.805%
     38        3.064        0.720%
     39        2.970        0.698%
     40        2.564        0.602%
     41        2.515        0.591%
     42        2.238        0.526%
     43        2.116        0.497%
     44        1.941        0.456%
     45        1.881        0.442%
     46        1.527        0.359%
     47        0.970        0.228%
     48        0.393        0.092%
     49        0.112        0.026%

Generation 2º
Individual    Value      Choice Probability 
     0       35.219        8.276%
     1       35.219        8.276%
     2       35.219        8.276%
     3       35.219        8.276%
     4       35.196        8.270%
     5       33.827        7.949%
     6       26.416        6.207%
     7       20.018        4.704%
     8       19.959        4.690%
     9       19.744        4.639%
     10       17.838        4.192%
     11       17.228        4.048%
     12       16.581        3.896%
     13       16.544        3.888%
     14       15.929        3.743%
     15       15.745        3.700%
     16       15.630        3.673%
     17       15.501        3.642%
     18       15.298        3.595%
     19       14.062        3.304%
     20       13.998        3.289%
     21       13.061        3.069%
     22       13.061        3.069%
     23       13.055        3.068%
     24       12.909        3.033%
     25       12.259        2.880%
     26       12.003        2.821%
     27       11.636        2.734%
     28       10.669        2.507%
     29       10.623        2.496%
     30       10.366        2.436%
     31        9.568        2.248%
     32        9.444        2.219%
     33        9.299        2.185%
     34        9.045        2.125%
     35        7.522        1.768%
     36        7.522        1.768%
     37        7.265        1.707%
     38        6.753        1.587%
     39        6.538        1.536%
     40        6.243        1.467%
     41        5.051        1.187%
     42        4.760        1.119%
     43        4.610        1.083%
     44        3.040        0.714%
     45        2.518        0.592%
     46        2.496        0.586%
     47        0.866        0.204%
     48        0.393        0.092%
     49        0.127        0.030%

Generation 3º
Individual    Value      Choice Probability 
     0       35.607        8.367%
     1       35.350        8.307%
     2       35.219        8.276%
